flight_uuid|memo|check_date
565708a0-6cc6-4b2b-a912-c0d54c269a6b|費用總計 NT$25,672。此航班由長榮航空, 北海道國際航空提供服務。在 16:20從台北松山出發，並在 隔天 08:35抵達抵達函館。此航班須停留 1 次，在東京羽田機場轉機，飛行時間為 15 小時 15 分鐘。票價包含稅費與服務費。|2023-08-06
bfa9a9d1-045e-4d01-b648-175498803c82|費用總計 NT$17,042。此航班由韓亞航空, ANA Wings提供服務。在 17:10從台北桃園出發，並在 隔天 17:10抵達抵達函館。此航班須停留 2 次，在首爾仁川國際機場, 名古屋中部國際轉機，飛行時間為 23 小時。 票價包含稅費與服務費。|2023-08-06
eb72e5cf-f21a-4aac-bbee-f25cd9c65b5b|費用總計 NT$17,383。此航班由韓亞航空, J-Air提供服務。在 13:30從台北桃園出發，並在 隔天 13:20抵達抵達函館。此航班須停留 2 次，在首爾仁川國際機場, 大阪轉機，飛行時間為 22 小時 50 分鐘。  你須要在大阪轉機。票價包含稅費與服務費。|2023-08-06
97240722-548c-42bf-aac3-5bd4a04d3228|費用總計 NT$45,109。此航班由長榮航空, 全日空, ANA Wings提供服務。在 08:30從台北桃園出發，並在 18:20抵達函館。此航班須停留 2 次，在大阪關西國際, 札幌千歲轉機，飛行時間為 8 小時 50 分鐘。 票價包含稅費與服務費。|2023-08-06
3c430be5-e114-40dd-8b0b-2fa2a73f255e|費用總計 NT$19,590。此航班由全日空, 日本航空提供服務。在 16:50從台北松山出發，並在 隔天 14:15抵達抵達函館。此航班須停留 1 次，在東京羽田機場轉機，飛行時間為 20 小時 25 分鐘。票價包含稅費與服務費。|2023-08-06
7dfedb58-9f3d-4ef9-ba14-eb832c470093|費用總計 NT$42,249。此航班由長榮航空, 日本航空提供服務。在 08:30從台北桃園出發，並在 19:05抵達函館。此航班須停留 2 次，在大阪關西國際, 東京羽田機場轉機，飛行時間為 9 小時 35 分鐘。 票價包含稅費與服務費。|2023-08-06
b6420d90-45d6-47c2-9476-1bdf4f8bf658|費用總計 NT$17,040。此航班由中華航空, 日本航空提供服務。在 18:05從台北松山出發，並在 隔天 19:05抵達抵達函館。此航班須停留 1 次，在東京羽田機場轉機，飛行時間為 24 小時。票價包含稅費與服務費。|2023-08-06
d8693084-484a-407e-be3e-65037b3a070c|費用總計 NT$38,361。此航班由長榮航空, 全日空, Hokkaido Air System提供服務。在 06:35從台北桃園出發，並在 18:25抵達函館。此航班須停留 2 次，在小松, 札幌轉機，飛行時間為 10 小時 50 分鐘。  你須要在札幌轉機。票價包含稅費與服務費。|2023-08-06
654a2c30-f855-4608-8b7d-6b2a1fe96ea7|費用總計 NT$20,190。此航班由菲律賓航空, 全日空提供服務。在 21:15從台北桃園出發，並在 隔天 18:55抵達抵達函館。此航班須停留 2 次，在馬尼拉, 東京羽田機場轉機，飛行時間為 20 小時 40 分鐘。 票價包含稅費與服務費。|2023-08-06
106e5e72-4acd-4360-ab2a-82b1b67e2dbe|費用總計 NT$43,622。此航班由長榮航空, 星悅航空, 日本航空提供服務。在 08:30從台北桃園出發，並在 19:05抵達函館。此航班須停留 2 次，在大阪關西國際, 東京羽田機場轉機，飛行時間為 9 小時 35 分鐘。 票價包含稅費與服務費。|2023-08-06
4a0fcd68-dee1-4855-a0fe-3b2ca719d8f2|費用總計 NT$39,406。此航班由長榮航空, 全日空, ANA Wings提供服務。在 06:35從台北桃園出發，並在 18:20抵達函館。此航班須停留 2 次，在小松, 札幌千歲轉機，飛行時間為 10 小時 45 分鐘。 票價包含稅費與服務費。|2023-08-06
af6d870e-69d5-41c0-9e5e-1ff13d8ca238|費用總計 NT$26,616。此航班由長榮航空, 北海道國際航空提供服務。在 15:20從台北桃園出發，並在 隔天 08:35抵達抵達函館。此航班須停留 1 次，在東京轉機，飛行時間為 16 小時 15 分鐘。 你須要在東京轉機。票價包含稅費與服務費。|2023-08-06
0c4fc7bd-220a-4008-af8e-28f02f9df519|費用總計 NT$33,442。此航班由中國東方航空, 全日空, 日本航空提供服務。在 18:40從台北桃園出發，並在 隔天 08:55抵達抵達函館。此航班須停留 2 次，在上海浦東, 東京羽田機場轉機，飛行時間為 13 小時 15 分鐘。 票價包含稅費與服務費。|2023-08-06
73b9536f-18ab-4c78-8687-9c430702903c|費用總計 NT$45,600。此航班由長榮航空, 日本航空, ANA Wings提供服務。在 07:20從台北松山出發，並在 18:20抵達函館。此航班須停留 2 次，在東京羽田機場, 札幌千歲轉機，飛行時間為 10 小時。 票價包含稅費與服務費。|2023-08-06
